Date,PKO_open,PKO_high,PKO_low,PKO_close,PKO_volume
2020-03-02,32.33,32.55,31.32,32.35,3913456
2020-03-03,32.65,33.78,32.55,33.1,4036412
2020-03-04,33,33.36,32.51,32.56,2754026
2020-03-05,32.75,33.06,31.64,31.64,2759371
2020-03-06,31.33,31.71,30.37,30.62,2964149
2020-03-09,29,29.46,27.45,27.72,3523517
2020-03-10,28.1,28.76,27.32,27.92,3821020
2020-03-11,28.11,28.31,26.31,26.63,2961506
2020-03-12,25.5,25.5,23.18,23.18,3752953
2020-03-13,23.99,25.37,23.1,23.5,6764837
2020-03-16,22.94,23.11,20.3,21.5,6971289
2020-03-17,22.24,22.87,21.01,22.1,7318962
2020-03-18,21.91,22.21,20.75,21,5416181
2020-03-19,21.28,22.07,20.86,21.89,6072444
2020-03-20,23,24.01,22.58,23.06,7642094
2020-03-23,22.5,22.76,21.4,21.45,3359361
2020-03-24,22.5,22.8,21.55,22.31,3066740
2020-03-25,23.41,23.45,21.61,21.84,3507067
2020-03-26,21.5,23.49,20.89,23.46,4434379
2020-03-27,23.46,23.99,22.51,22.75,3166546
2020-03-30,22.95,22.95,22.08,22.51,2130445
2020-03-31,22.8,23.39,22.52,22.62,3455596
2020-04-01,22.4,22.53,21.92,22.2,2957324
2020-04-02,22.3,22.44,21.22,21.83,3870599
2020-04-03,21.75,21.85,21.15,21.85,3727048
2020-04-06,22.45,22.8,22.14,22.68,3490143
2020-04-07,23.13,24.46,23.05,23.41,7107615
2020-04-08,23.8,23.94,21.75,21.91,7582799
2020-04-09,22.5,22.68,21.95,22.68,4489088
2020-04-14,23.2,23.49,22.93,23.2,3488445
2020-04-15,23.31,23.36,22.1,22.14,4738886
2020-04-16,22.6,22.69,22,22.04,4751531
2020-04-17,22.5,22.62,21.91,21.93,5104371
2020-04-20,22.09,22.13,21.54,22.13,2366440
2020-04-21,21.91,21.94,21.07,21.07,3676982
2020-04-22,21.25,21.58,20.95,21.22,3824706
2020-04-23,21.4,21.46,20.7,21.26,3902064
2020-04-24,21.18,21.23,20.82,20.82,2813109
2020-04-27,20.98,21.02,20.03,20.1,5477747
2020-04-28,19.8,20.74,19.655,20.24,7425700
2020-04-29,20.56,21.97,20.45,21.94,5337959
2020-04-30,22.4,22.85,21.71,22.01,6103164
2020-05-04,21.69,21.76,21.37,21.58,3300317
2020-05-05,21.82,21.86,20.91,21.01,2516489
2020-05-06,21.2,21.2,20.6,20.6,2514533
2020-05-07,20.78,21.32,20.45,21,2256074
2020-05-08,21.45,21.45,20.87,21.06,1687806
2020-05-11,21.34,21.34,20.65,20.65,1421650
2020-05-12,20.65,21.53,20.36,21.42,3892973
2020-05-13,21.23,22.09,21.07,21.3,2731941
2020-05-14,21.03,21.13,20.42,20.75,3258953
2020-05-15,20.84,21.17,20.6,20.67,1825448
2020-05-18,21,21.55,20.73,21.55,2885325
2020-05-19,21.9,21.9,21.31,21.6,2316463
2020-05-20,21.56,21.85,21.41,21.64,1720402
2020-05-21,21.62,21.62,21.2,21.2,2866540
2020-05-22,21.1,21.34,20.81,21.15,1445802
2020-05-25,21.37,21.37,21.05,21.25,702122
2020-05-26,21.59,22.6,21.41,22.54,4154607
2020-05-27,22.65,23.92,22.43,23.15,6772196
2020-05-28,23.59,24.8,21.4,22.3,13862221
2020-05-29,22.1,22.49,21.53,22.3,11447299
2020-06-01,22.63,22.95,22.21,22.45,2951846
2020-06-02,22.56,22.86,21.92,22.06,5924901
2020-06-03,22.22,22.78,22.06,22.55,7038663
2020-06-04,22.56,22.75,22.26,22.66,7024173
2020-06-05,22.9,23.85,22.9,23.57,8445618
2020-06-08,23.67,24.64,23.61,24.48,8109271
2020-06-09,24.85,25.12,23.95,24.24,6732787
2020-06-10,24.24,24.29,23.15,23.42,5131559
2020-06-12,22.5,23.01,22.32,22.57,7147010
2020-06-15,22.2,22.22,21.63,21.76,7089425
2020-06-16,22.3,23.4,22.16,23.23,6170090
2020-06-17,23.61,23.61,22.61,22.7,3823817
2020-06-18,22.6,23.27,22.45,23.09,5044107
2020-06-19,23.2,23.29,22.82,23,5469588
2020-06-22,22.96,22.98,22.46,22.5,3525277
2020-06-23,22.83,23.79,22.62,23.6,3925870
2020-06-24,23.56,23.76,22.8,22.81,2950663
2020-06-25,22.64,22.94,22.25,22.82,3166515
2020-06-26,22.91,23.1,22.37,22.37,1639435
2020-06-29,22.37,22.77,22,22.7,1834732
2020-06-30,22.72,22.92,22.32,22.92,3117907
